"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"UA",2022-03-02,3792,"Lviv Oblast","T_20Plus",400817,401500,472400,2009472.3770992,2056786.37182104,2057219.4751525
"UA",2022-03-02,3793,"Mykolaiv Oblast","T_20Plus",106741,111600,131300,889097.042768601,889050.353926799,889455.413549034
"UA",2022-03-02,3794,"Odessa Oblast","T_20Plus",239535,261000,307000,1775332.7098238,1844492.04100373,1844043.1316932
"UA",2022-03-02,3795,"Poltava Oblast","T_20Plus",171415,169700,199600,1142095.03970666,1122887.93414983,1122329.33832357
"UA",2022-03-02,3796,"Rivne Oblast","T_20Plus",147757,146100,171800,868857.188466527,856517.242942427,856297.498169274
"UA",2022-03-02,3798,"Sumy Oblast","T_20Plus",100667,99100,116600,880738.616013099,874147.539606048,874212.90224
"UA",2022-03-02,3799,"Ternopil Oblast","T_20Plus",153749,147600,173700,879305.848621666,851897.577993092,852379.306942898
"UA",2022-03-02,3800,"Vinnytsia Oblast","T_20Plus",220577,222500,261700,1265138.2581744,1285610.74069971,1285497.3864351
"UA",2022-03-02,3801,"Volyn Oblast","T_20Plus",116038,116700,137200,768707.462019806,777377.86828154,776601.947624886
"UA",2022-03-02,3802,"Zakarpattia Oblast","T_20Plus",173387,176600,207700,934547.216633942,993473.706756574,992751.60224717
"UA",2022-03-02,3804,"Zhytomyr Oblast","T_20Plus",177704,185000,217700,912321.181053756,961700.97828149,962185.508893458
"UA",2022-03-02,4290,"Kyiv","T_20Plus",572173,506500,596000,2356382.89653531,2035635.12925902,2036134.47876506
"UA",2022-03-03,3778,"Cherkasy Oblast","T_20Plus",156997,167100,196600,978473.539155387,1020844.36032402,1021057.50992379
"UA",2022-03-03,3779,"Chernihiv Oblast","T_20Plus",102849,105900,124500,770684.468108454,789597.050647946,788667.441927415
"UA",2022-03-03,3780,"Chernivtsi Oblast","T_20Plus",106840,109700,129100,736059.643204617,735611.197911774,736160.668850923
"UA",2022-03-03,3781,"Dnipropetrovsk Oblast","T_20Plus",320123,349300,410900,2508062.03420066,2573816.6625686,2574280.16142308
"UA",2022-03-03,3782,"Donetsk Oblast","T_20Plus",108180,132300,155600,3349352.69256362,3471836.7510767,3470866.63190314
"UA",2022-03-03,3783,"Ivano-Frankivsk Oblast","T_20Plus",177860,182100,214200,1045795.08462985,1090267.97804445,1089741.17655794
"UA",2022-03-03,3784,"Kharkiv Oblast","T_20Plus",197153,224400,263900,1984025.34270654,2045867.53000929,2044718.04647495
"UA",2022-03-03,3785,"Kherson Oblast","T_20Plus",86365,89900,105700,826692.652443134,799645.552832436,800417.468458042
"UA",2022-03-03,3787,"Kirovohrad Oblast","T_20Plus",114323,118900,140000,737070.523012968,753346.764076378,753718.914710015
"UA",2022-03-03,3791,"Luhansk Oblast","T_20Plus",40524,48100,56800,1804332.55681386,1807543.4496788,1808927.63399739
"UA",2022-03-03,3792,"Lviv Oblast","T_20Plus",404934,410800,483300,2088590.63913328,2129398.05707854,2129738.11687036
"UA",2022-03-03,3793,"Mykolaiv Oblast","T_20Plus",100301,109700,129000,859520.694841726,884283.607457711,884275.998773772
"UA",2022-03-03,3794,"Odessa Oblast","T_20Plus",237566,255800,300800,1811457.86408828,1829193.29388463,1828307.33587784
"UA",2022-03-03,3795,"Poltava Oblast","T_20Plus",166718,167300,196800,1142796.99633263,1120142.55314663,1119756.37441036
"UA",2022-03-03,3796,"Rivne Oblast","T_20Plus",145784,144500,170000,881948.797020502,857188.870523986,857411.111802961
"UA",2022-03-03,3798,"Sumy Oblast","T_20Plus",99692,96100,113100,897332.499229357,857743.142914901,858064.504340864
"UA",2022-03-03,3799,"Ternopil Oblast","T_20Plus",148794,148200,174400,875480.0564964,865509.844104887,866000.675026758
"UA",2022-03-03,3800,"Vinnytsia Oblast","T_20Plus",218944,222700,262100,1291944.88782997,1302034.45224385,1302786.2517454
"UA",2022-03-03,3801,"Volyn Oblast","T_20Plus",116773,115800,136200,795859.630689553,780535.495433133,780117.718706245
"UA",2022-03-03,3802,"Zakarpattia Oblast","T_20Plus",178106,177600,208900,987634.932252256,1010954.06273162,1010371.7867038
"UA",2022-03-03,3804,"Zhytomyr Oblast","T_20Plus",177865,182300,214400,939451.203579152,958909.850999088,958879.05945283
"UA",2022-03-03,4290,"Kyiv","T_20Plus",559003,491000,577600,2368458.70154914,1996754.91219195,1996760.85194344
"UA",2022-03-04,3778,"Cherkasy Oblast","T_20Plus",159787,159700,187900,1034864.16237752,1024576.47884877,1024752.57660918
"UA",2022-03-04,3779,"Chernihiv Oblast","T_20Plus",95855,99100,116500,746406.611073124,775960.462667721,774954.197333321
"UA",2022-03-04,3780,"Chernivtsi Oblast","T_20Plus",103410,109500,128800,740330.835066727,771102.666237267,771236.863403993
"UA",2022-03-04,3781,"Dnipropetrovsk Oblast","T_20Plus",315701,340000,400000,2570286.44660273,2630960.45856483,2631511.11258187
"UA",2022-03-04,3782,"Donetsk Oblast","T_20Plus",102572,126100,148300,3300098.4883182,3475128.91428878,3473721.79100226
"UA",2022-03-04,3783,"Ivano-Frankivsk Oblast","T_20Plus",179051,178300,209800,1094030.00170554,1121065.6237016,1120817.56158596
"UA",2022-03-04,3784,"Kharkiv Oblast","T_20Plus",178047,208200,244900,1861927.0373646,1993387.65231185,1992546.07827224
"UA",2022-03-04,3785,"Kherson Oblast","T_20Plus",79318,87100,102400,788973.157702966,813602.681058507,814267.452922334
"UA",2022-03-04,3787,"Kirovohrad Oblast","T_20Plus",111200,116700,137200,745013.925881275,776497.94382177,775641.50119778
"UA",2022-03-04,3791,"Luhansk Oblast","T_20Plus",39182,45900,54200,1812905.02091537,1811393.21347568,1812582.1238536
"UA",2022-03-04,3792,"Lviv Oblast","T_20Plus",388540,399300,469800,2082519.09493988,2173612.43624054,2173942.08199895
"UA",2022-03-04,3793,"Mykolaiv Oblast","T_20Plus",95562,105600,124200,850982.203698656,893933.569364531,894015.959025236
"UA",2022-03-04,3794,"Odessa Oblast","T_20Plus",220068,246700,290200,1743753.2111188,1852612.50569131,1852227.49386762
"UA",2022-03-04,3795,"Poltava Oblast","T_20Plus",166878,161500,190000,1188693.41647063,1135550.00401472,1135213.63485044
"UA",2022-03-04,3796,"Rivne Oblast","T_20Plus",139369,138500,163000,876160.896763134,862809.327500028,863283.298670266
"UA",2022-03-04,3798,"Sumy Oblast","T_20Plus",88418,90300,106300,827023.686178629,846404.568796097,846868.823020934
"UA",2022-03-04,3799,"Ternopil Oblast","T_20Plus",144974,147400,173400,886410.991648312,904019.239194556,904162.293357779
"UA",2022-03-04,3800,"Vinnytsia Oblast","T_20Plus",218027,222000,261200,1336919.91097742,1363049.45935569,1363342.16587863
"UA",2022-03-04,3801,"Volyn Oblast","T_20Plus",108120,112600,132500,765745.138029679,797037.711451795,796937.863563591
"UA",2022-03-04,3802,"Zakarpattia Oblast","T_20Plus",178465,177800,209200,1028383.55040182,1062861.31075744,1062502.59462531
"UA",2022-03-04,3804,"Zhytomyr Oblast","T_20Plus",165332,174600,205500,907454.424613683,964476.682368726,965109.138646792
"UA",2022-03-04,4290,"Kyiv","T_20Plus",566027,381900,449400,2492143.22803263,1630982.5301691,1631388.83361324
"UA",2022-03-05,3778,"Cherkasy Oblast","T_20Plus",125812,130200,153100,841720.668773463,942872.288747415,942398.22660998
"UA",2022-03-05,3779,"Chernihiv Oblast","T_20Plus",73245,73200,86100,589172.828725196,646962.997268994,646428.196404542
"UA",2022-03-05,3780,"Chernivtsi Oblast","T_20Plus",92231,95300,112100,682094.014257567,757518.787627197,757608.013827712
"UA",2022-03-05,3781,"Dnipropetrovsk Oblast","T_20Plus",321243,316600,372500,2701738.19415502,2765341.28022795,2765913.05849276
"UA",2022-03-05,3782,"Donetsk Oblast","T_20Plus",99412,119700,140900,3304006.62463216,3723508.98359323,3725048.27804016
"UA",2022-03-05,3783,"Ivano-Frankivsk Oblast","T_20Plus",166726,168000,197600,1052349.09690313,1192316.06716713,1191470.82960064
"UA",2022-03-05,3784,"Kharkiv Oblast","T_20Plus",181206,187300,220400,1957512.7186655,2024189.82847043,2023942.68169732
"UA",2022-03-05,3785,"Kherson Oblast","T_20Plus",78613,67200,79100,807772.127855878,708542.509754175,709921.997667202
"UA",2022-03-05,3787,"Kirovohrad Oblast","T_20Plus",91012,96400,113400,629886.473784854,724017.244290241,723580.76265183
"UA",2022-03-05,3791,"Luhansk Oblast","T_20Plus",39641,43000,50700,1894685.24881053,1915450.47948382,1913697.96910873
"UA",2022-03-05,3792,"Lviv Oblast","T_20Plus",400736,344300,405100,2218787.11953153,2115544.88924284,2115749.42167295
"UA",2022-03-05,3793,"Mykolaiv Oblast","T_20Plus",96396,81600,96000,886744.046349594,779711.445204978,779941.338147689
"UA",2022-03-05,3794,"Odessa Oblast","T_20Plus",203812,229100,269600,1668252.92627892,1941971.95286267,1942154.77457938
"UA",2022-03-05,3795,"Poltava Oblast","T_20Plus",165472,147200,173200,1217585.05299647,1168272.0017542,1167989.4394965
"UA",2022-03-05,3796,"Rivne Oblast","T_20Plus",116846,122300,143900,758814.381396409,859991.061454639,860188.355539285
"UA",2022-03-05,3798,"Sumy Oblast","T_20Plus",88184,82600,97200,852061.762620442,873922.092259117,874009.545675399
"UA",2022-03-05,3799,"Ternopil Oblast","T_20Plus",147672,139100,163700,932711.193047166,962963.313401385,963414.122849307
"UA",2022-03-05,3800,"Vinnytsia Oblast","T_20Plus",216580,204300,240300,1371884.28883503,1415889.72217215,1415638.9252421
"UA",2022-03-05,3801,"Volyn Oblast","T_20Plus",111664,104200,122600,816949.878924083,832550.567139282,832273.532681152
"UA",2022-03-05,3802,"Zakarpattia Oblast","T_20Plus",179052,169700,199700,1065823.42756347,1145062.27438369,1144757.28132096
"UA",2022-03-05,3804,"Zhytomyr Oblast","T_20Plus",169670,146000,171800,962004.23468734,910338.208142481,910656.919570966
"UA",2022-03-05,4290,"Kyiv","T_20Plus",542735,264300,311000,2468469.13108758,1274087.44523331,1274241.76900475
"UA",2022-03-06,3778,"Cherkasy Oblast","T_20Plus",125243,111900,131600,876868.705369048,874629.907937065,874375.174020361
"UA",2022-03-06,3779,"Chernihiv Oblast","T_20Plus",72279,77700,91500,608431.997482661,741210.784502937,741516.627063683
"UA",2022-03-06,3780,"Chernivtsi Oblast","T_20Plus",86769,89400,105300,671532.594098098,766991.19159684,768156.974307404
"UA",2022-03-06,3781,"Dnipropetrovsk Oblast","T_20Plus",323309,300600,353600,2845526.05948193,2833864.9657939,2834047.75134257
"UA",2022-03-06,3782,"Donetsk Oblast","T_20Plus",90488,112500,132300,3147228.46981659,3777140.39566281,3775403.86698849
"UA",2022-03-06,3783,"Ivano-Frankivsk Oblast","T_20Plus",164515,159500,187600,1086668.77292218,1221786.02077258,1220989.60738751
"UA",2022-03-06,3784,"Kharkiv Oblast","T_20Plus",184630,169600,199500,2087225.98095952,1978297.75657487,1977480.35797754
"UA",2022-03-06,3785,"Kherson Oblast","T_20Plus",78014,53600,63000,838884.602976981,609977.446700105,610319.658523113
"UA",2022-03-06,3787,"Kirovohrad Oblast","T_20Plus",90950,101600,119500,658721.003419502,823603.026641934,823046.783988807
"UA",2022-03-06,3791,"Luhansk Oblast","T_20Plus",38849,41000,48400,1943155.24896964,1971236.26110995,1971938.9157614
"UA",2022-03-06,3792,"Lviv Oblast","T_20Plus",309450,307000,361200,1793010.97445599,2035991.43873734,2036256.05525471
"UA",2022-03-06,3793,"Mykolaiv Oblast","T_20Plus",67592,73300,86300,650683.432400372,755962.1905625,756805.294088857
"UA",2022-03-06,3794,"Odessa Oblast","T_20Plus",193429,215000,253000,1656871.83221088,1967019.53822439,1967284.3162157
"UA",2022-03-06,3795,"Poltava Oblast","T_20Plus",168757,142100,167200,1299486.49931921,1217257.8568452,1217054.31647558
"UA",2022-03-06,3796,"Rivne Oblast","T_20Plus",118009,108600,127800,801995.658455451,824232.348644934,824605.597579104
"UA",2022-03-06,3798,"Sumy Oblast","T_20Plus",86973,76800,90300,879429.269807762,877013.423442659,876436.227405537
"UA",2022-03-06,3799,"Ternopil Oblast","T_20Plus",129000,129800,152800,852656.143657923,969861.353345759,970667.173624643
