"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"EG",2023-10-14,999,"Monufia Governorate","T_20Plus",571191,591900,696400,3178405.15444596,3211637.01666984,3216727.5368826
"EG",2023-10-14,1000,"Minya Governorate","T_20Plus",322599,347400,408800,243121.756915586,243239.245484248,243707.260210851
"EG",2023-10-14,1001,"Cairo Governorate","T_20Plus",2799925,2800000,3300000,3343902.01872023,3422992.83888011,3428591.09322547
"EG",2023-10-14,1002,"Qalyubia Governorate","T_20Plus",995829,1100000,1200000,933585.813310653,1023037.59796691,931555.237165896
"EG",2023-10-14,1003,"New Valley Governorate","T_20Plus",25071,25800,30400,4465541.65160584,4260886.4897674,4275290.9577105
"EG",2023-10-14,1004,"Al Sharqia Governorate","T_20Plus",741825,773200,909700,4027039.88321988,4039342.28591475,4046366.54729473
"EG",2023-10-14,1005,"Suez Governorate","T_20Plus",183526,189500,222900,3712918.23045997,3720821.07596386,3724951.08700348
"EG",2023-10-14,1006,"Aswan Governorate","T_20Plus",132490,148800,175100,529125.075564562,534606.695630332,535410.410947403
"EG",2023-10-14,1007,"Asyut Governorate","T_20Plus",278784,303000,356400,3360239.72675314,3337235.28891987,3341307.17730753
"EG",2023-10-14,1008,"Beni Suef Governorate","T_20Plus",232694,249700,293800,3614462.60469453,3610441.39262688,3616926.71970204
"EG",2023-10-14,1009,"Port Said Governorate","T_20Plus",141644,142600,167700,2397540.53591353,2397643.31337486,2401632.81895109
"EG",2023-10-14,1010,"Damietta Governorate","T_20Plus",206422,207400,244000,1789033.4759208,1771756.23953059,1774180.00185785
"EG",2023-10-14,1011,"Kafr el-Sheikh Governorate","T_20Plus",257864,268500,315900,153129.834971684,151220.789243254,151493.372004151
"EG",2023-10-14,1012,"Matrouh Governorate","T_20Plus",111406,118000,138800,62265.9970405109,63988.1423915829,64076.7171420739
"EG",2023-10-14,1013,"Qena Governorate","T_20Plus",227748,247000,290600,263665.450362213,261622.669495709,262034.626385071
"EG",2023-10-14,1014,"Sohag Governorate","T_20Plus",248601,270200,317800,2714690.12523065,2742795.71816365,2746569.78917797
"EG",2023-10-14,1015,"South Sinai Governorate","T_20Plus",85301,84600,99600,2826107.08684079,2848569.91059026,2855252.27115857
"EG",2023-10-14,1016,"North Sinai Governorate","T_20Plus",44294,45300,53300,509883.884873087,463351.158315167,463273.069816908
"EG",2023-10-14,4194,"Luxor Governorate","T_20Plus",67189,72200,84900,1966350.25295116,1927558.90112775,1930584.35893916
"EG",2023-10-15,991,"Dakahlia Governorate","T_20Plus",605948,610100,717800,6637752.6092328,6644617.67915476,6655532.99320807
"EG",2023-10-15,992,"Red Sea Governorate","T_20Plus",138160,139700,164300,224120.193109745,222523.679690547,222659.615477628
"EG",2023-10-15,993,"Beheira Governorate","T_20Plus",619596,654200,769700,5198960.08681842,5260363.83978042,5269162.34124766
"EG",2023-10-15,994,"Faiyum Governorate","T_20Plus",214275,229900,270400,813620.438502987,830468.633243172,831455.245523867
"EG",2023-10-15,995,"Gharbia Governorate","T_20Plus",513807,519200,610800,1959030.3165297,1966294.12037161,1969144.77314337
"EG",2023-10-15,996,"Alexandria Governorate","T_20Plus",1011079,989900,1200000,908247.082779268,908869.644906729,906035.971742874
"EG",2023-10-15,997,"Ismailia Governorate","T_20Plus",222682,222600,261800,812766.80820792,795733.036646442,796864.471099166
"EG",2023-10-15,998,"Giza Governorate","T_20Plus",1764640,1800000,2100000,2087699.16451952,2111250.07458973,2114493.53249614
"EG",2023-10-15,999,"Monufia Governorate","T_20Plus",565658,584700,687800,3151678.18881697,3200208.6835029,3204363.36343649
"EG",2023-10-15,1000,"Minya Governorate","T_20Plus",317327,344500,405300,239457.181644908,243310.107321155,243701.529950838
"EG",2023-10-15,1001,"Cairo Governorate","T_20Plus",2870525,2800000,3300000,3432641.99062904,3452813.18282899,3458117.64881907
"EG",2023-10-15,1002,"Qalyubia Governorate","T_20Plus",998046,1100000,1200000,936871.579529126,1031950.07148935,939577.662923532
"EG",2023-10-15,1003,"New Valley Governorate","T_20Plus",25117,25800,30400,4479507.67741448,4298006.37480156,4312109.17624671
"EG",2023-10-15,1004,"Al Sharqia Governorate","T_20Plus",741412,768700,904300,4029991.2996638,4050818.47714922,4056987.12478423
"EG",2023-10-15,1005,"Suez Governorate","T_20Plus",178381,186100,218900,3613486.29588925,3685895.64990523,3689608.95054097
