"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"JO",2023-10-19,1878,"Mafraq Governorate","T_20Plus",64986,64100,75400,361905.523657204,365690.920276421,365293.455945119
"JO",2023-10-19,1879,"Tafilah Governorate","T_20Plus",23405,22700,26700,63186.7461995885,64966.4105615833,65013.2514241619
"JO",2023-10-19,1880,"Zarqa Governorate","T_20Plus",196493,192100,226000,891240.929088309,922737.023316011,922675.746739001
"JO",2023-10-19,1881,"Irbid Governorate","T_20Plus",228894,215400,253500,1212272.32190295,1181592.71454581,1181970.99555076
"JO",2023-10-19,1882,"Amman Governorate","T_20Plus",713235,689000,810600,2748035.91705447,2743511.98967651,2743786.26293072
"JO",2023-10-19,4335,"Ajloun Governorate","T_20Plus",26961,26700,31400,105102.697635793,112187.842662077,111857.542415732
"JO",2023-10-19,4336,"Jerash Governorate","T_20Plus",56063,53100,62500,154146.593479918,159106.638710503,159087.766457991
"JO",2023-10-19,4337,"Madaba Governorate","T_20Plus",38903,36900,43400,124813.130476912,120320.62485051,120127.532989731
"JO",2023-10-19,4338,"Aqaba Governorate","T_20Plus",39230,37500,44100,113727.929608375,114086.790362327,114266.562071335
"JO",2023-10-20,1875,"Balqa Governorate","T_20Plus",129629,123000,144700,324252.356387233,316904.085808885,316932.680547914
"JO",2023-10-20,1877,"Karak Governorate","T_20Plus",47953,44700,52500,206364.869448323,206740.590116912,206333.296987958
"JO",2023-10-20,1878,"Mafraq Governorate","T_20Plus",65009,63700,74900,358395.050147297,362870.725680315,362400.22386169
"JO",2023-10-20,1879,"Tafilah Governorate","T_20Plus",23057,22800,26800,61621.6407810433,65155.9700797108,65172.0695635399
"JO",2023-10-20,1880,"Zarqa Governorate","T_20Plus",200630,192700,226700,900859.420395208,924248.275960782,924332.619161689
"JO",2023-10-20,1881,"Irbid Governorate","T_20Plus",230007,216900,255200,1205924.02193758,1188059.0055133,1188353.41681756
"JO",2023-10-20,1882,"Amman Governorate","T_20Plus",719478,689000,810600,2744229.24671048,2739448.97399293,2740225.924626
"JO",2023-10-20,4335,"Ajloun Governorate","T_20Plus",27644,26700,31400,106682.17536849,112021.697602038,111712.396017736
"JO",2023-10-20,4336,"Jerash Governorate","T_20Plus",58314,53100,62500,158724.344550011,158871.009061034,158881.334099762
"JO",2023-10-20,4337,"Madaba Governorate","T_20Plus",40284,37100,43600,127944.871372423,120793.614024557,120524.52021985
"JO",2023-10-20,4338,"Aqaba Governorate","T_20Plus",39629,37400,44000,113730.002901913,113614.052159534,113859.5180963
"JO",2023-10-21,1875,"Balqa Governorate","T_20Plus",128349,122000,143500,322656.355472338,314212.733937965,314182.816058674
"JO",2023-10-21,1877,"Karak Governorate","T_20Plus",47754,44900,52800,206536.353156554,207589.696126188,207432.103386657
"JO",2023-10-21,1878,"Mafraq Governorate","T_20Plus",67000,63900,75200,371218.904377414,363876.980967609,363711.065695931
"JO",2023-10-21,1879,"Tafilah Governorate","T_20Plus",22482,23100,27200,60385.4304466081,65989.155700118,66119.2101090562
"JO",2023-10-21,1880,"Zarqa Governorate","T_20Plus",199809,193100,227200,901660.328836862,925828.257692617,926013.078498476
"JO",2023-10-21,1881,"Irbid Governorate","T_20Plus",227244,217400,255700,1197396.77105664,1190362.45954835,1190221.28185808
"JO",2023-10-21,1882,"Amman Governorate","T_20Plus",717474,688600,810100,2750272.97901488,2736857.81579275,2737476.74036019
"JO",2023-10-21,4335,"Ajloun Governorate","T_20Plus",27247,26600,31300,105676.016708511,111561.346854589,111313.564601739
"JO",2023-10-21,4336,"Jerash Governorate","T_20Plus",55974,52900,62300,153117.143284204,158214.771599475,158311.674085987
"JO",2023-10-21,4337,"Madaba Governorate","T_20Plus",39408,36700,43100,125788.649307626,119447.579471028,119096.288243624
"JO",2023-10-21,4338,"Aqaba Governorate","T_20Plus",39532,37800,44400,114019.068338363,114787.202309312,114850.177101589
"JO",2023-10-22,1875,"Balqa Governorate","T_20Plus",127326,117200,137900,319950.189649156,314235.659718024,314279.555736043
"JO",2023-10-22,1877,"Karak Governorate","T_20Plus",47912,43300,51000,207132.664027921,208406.496903049,208561.221706026
"JO",2023-10-22,1878,"Mafraq Governorate","T_20Plus",66656,60900,71700,369157.819191781,361023.042886662,360976.697143463
"JO",2023-10-22,1879,"Tafilah Governorate","T_20Plus",23207,21700,25600,62306.5589395869,64533.3530374267,64776.884343418
"JO",2023-10-22,1880,"Zarqa Governorate","T_20Plus",200093,184000,216400,902562.640580368,918395.794412521,918094.503399103
